tcpdump: data link type LINUX_SLL2
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on any, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144 bytes
 00:00:00.000000 eth1  In  IP 10.0.29.3.38784 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.008339 eth1  Out IP 10.0.29.2.36923 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.085591 eth1  In  IP 10.0.29.3.38784 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.091957 eth1  Out IP 10.0.29.2.36923 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.175127 eth1  In  IP 10.0.29.3.38784 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.179561 eth1  Out IP 10.0.29.2.36923 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.256126 eth1  Out IP 10.0.29.2.36923 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.257386 eth1  In  IP 10.0.29.3.38784 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.333777 eth1  Out IP 10.0.29.2.36923 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.337030 eth1  In  IP 10.0.29.3.38784 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.411475 eth1  Out IP 10.0.29.2.36923 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.426128 eth1  In  IP 10.0.29.3.38784 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.499663 eth1  Out IP 10.0.29.2.36923 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.506196 eth1  In  IP 10.0.29.3.38784 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.582628 eth1  Out IP 10.0.29.2.36923 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.585871 eth1  In  IP 10.0.29.3.38784 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.665260 eth1  Out IP 10.0.29.2.36923 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.675473 eth1  In  IP 10.0.29.3.38784 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.749919 eth1  Out IP 10.0.29.2.36923 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.753171 eth1  In  IP 10.0.29.3.38784 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.831473 eth1  In  IP 10.0.29.3.38784 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.834760 eth1  Out IP 10.0.29.2.36923 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.912128 eth1  Out IP 10.0.29.2.36923 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.917429 eth1  In  IP 10.0.29.3.38784 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.998912 eth1  Out IP 10.0.29.2.36923 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.003206 eth1  In  IP 10.0.29.3.38784 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.083676 eth1  Out IP 10.0.29.2.36923 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.087179 eth1  In  IP 10.0.29.3.38784 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.160744 eth1  Out IP 10.0.29.2.36923 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.168026 eth1  In  IP 10.0.29.3.38784 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.236432 eth1  Out IP 10.0.29.2.36923 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.243696 eth1  In  IP 10.0.29.3.38784 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.312253 eth1  Out IP 10.0.29.2.36923 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.320506 eth1  In  IP 10.0.29.3.38784 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.393077 eth1  Out IP 10.0.29.2.36923 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.399939 eth1  In  IP 10.0.29.3.38784 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.476386 eth1  In  IP 10.0.29.3.38784 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.481705 eth1  Out IP 10.0.29.2.36923 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
