tcpdump: data link type LINUX_SLL2
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on any, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144 bytes
 00:00:00.000000 eth1  Out IP 10.0.29.2.48911 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.018240 eth1  In  IP 10.0.29.3.45346 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.086614 eth1  Out IP 10.0.29.2.48911 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.099859 eth1  In  IP 10.0.29.3.45346 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.176375 eth1  Out IP 10.0.29.2.48911 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.189728 eth1  In  IP 10.0.29.3.45346 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.265148 eth1  Out IP 10.0.29.2.48911 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.267417 eth1  In  IP 10.0.29.3.45346 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.349762 eth1  Out IP 10.0.29.2.48911 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.356028 eth1  In  IP 10.0.29.3.45346 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.431681 eth1  In  IP 10.0.29.3.45346 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.439004 eth1  Out IP 10.0.29.2.48911 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.508871 eth1  In  IP 10.0.29.3.45346 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.528214 eth1  Out IP 10.0.29.2.48911 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.595060 eth1  In  IP 10.0.29.3.45346 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.605459 eth1  Out IP 10.0.29.2.48911 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.681251 eth1  In  IP 10.0.29.3.45346 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.692711 eth1  Out IP 10.0.29.2.48911 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.757832 eth1  In  IP 10.0.29.3.45346 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.778266 eth1  Out IP 10.0.29.2.48911 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.833070 eth1  In  IP 10.0.29.3.45346 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.867712 eth1  Out IP 10.0.29.2.48911 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.920024 eth1  In  IP 10.0.29.3.45346 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.956470 eth1  Out IP 10.0.29.2.48911 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.996927 eth1  In  IP 10.0.29.3.45346 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.045373 eth1  Out IP 10.0.29.2.48911 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.082647 eth1  In  IP 10.0.29.3.45346 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.126098 eth1  Out IP 10.0.29.2.48911 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.162614 eth1  In  IP 10.0.29.3.45346 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.205068 eth1  Out IP 10.0.29.2.48911 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.240334 eth1  In  IP 10.0.29.3.45346 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.286718 eth1  Out IP 10.0.29.2.48911 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.325069 eth1  In  IP 10.0.29.3.45346 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.371502 eth1  Out IP 10.0.29.2.48911 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.405798 eth1  In  IP 10.0.29.3.45346 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.461205 eth1  Out IP 10.0.29.2.48911 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.494492 eth1  In  IP 10.0.29.3.45346 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.539828 eth1  Out IP 10.0.29.2.48911 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.576045 eth1  In  IP 10.0.29.3.45346 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.626505 eth1  Out IP 10.0.29.2.48911 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.657763 eth1  In  IP 10.0.29.3.45346 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.702216 eth1  Out IP 10.0.29.2.48911 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.744574 eth1  In  IP 10.0.29.3.45346 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.779912 eth1  Out IP 10.0.29.2.48911 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.833125 eth1  In  IP 10.0.29.3.45346 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.862571 eth1  Out IP 10.0.29.2.48911 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.913779 eth1  In  IP 10.0.29.3.45346 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.948124 eth1  Out IP 10.0.29.2.48911 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.992371 eth1  In  IP 10.0.29.3.45346 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:02.032826 eth1  Out IP 10.0.29.2.48911 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:02.076948 eth2  Out IP 10.0.12.3.51192 > 10.0.12.2.179: Flags [P.], seq 221768574:221768609, ack 3568889677, win 63, options [nop,nop,TS val 627098337 ecr 397933088], length 35: BGP
 00:00:02.077032 eth2  In  IP 10.0.12.2.179 > 10.0.12.3.51192: Flags [.], ack 35, win 64, options [nop,nop,TS val 397949693 ecr 627098337], length 0
 00:00:02.077071 eth2  Out IP 10.0.12.3.51192 > 10.0.12.2.179: Flags [P.], seq 35:80, ack 1, win 63, options [nop,nop,TS val 627098337 ecr 397949693], length 45: BGP
 00:00:02.077083 eth2  In  IP 10.0.12.2.179 > 10.0.12.3.51192: Flags [.], ack 80, win 64, options [nop,nop,TS val 397949693 ecr 627098337], length 0
 00:00:02.077609 eth2  In  IP 10.0.12.2.179 > 10.0.12.3.51192: Flags [P.], seq 1:55, ack 80, win 64, options [nop,nop,TS val 397949694 ecr 627098337], length 54: BGP
 00:00:02.077633 eth2  Out IP 10.0.12.3.51192 > 10.0.12.2.179: Flags [.], ack 55, win 63, options [nop,nop,TS val 627098338 ecr 397949694], length 0
 00:00:09.836485 eth2  Out IP 10.0.12.3.51192 > 10.0.12.2.179: Flags [P.], seq 80:99, ack 55, win 63, options [nop,nop,TS val 627106097 ecr 397949694], length 19: BGP
 00:00:09.877441 eth2  In  IP 10.0.12.2.179 > 10.0.12.3.51192: Flags [.], ack 99, win 64, options [nop,nop,TS val 397957494 ecr 627106097], length 0
 00:00:10.182616 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Down, Flags: [none], length: 24
 00:00:10.182752 eth2  Out IP 10.0.12.3.51192 > 10.0.12.2.179: Flags [P.], seq 99:147, ack 55, win 63, options [nop,nop,TS val 627106443 ecr 397957494], length 48: BGP
 00:00:10.182807 eth2  In  IP 10.0.12.2.179 > 10.0.12.3.51192: Flags [.], ack 147, win 64, options [nop,nop,TS val 397957799 ecr 627106443], length 0
 00:00:10.183050 eth2  In  IP 10.0.12.2.179 > 10.0.12.3.51192: Flags [P.], seq 55:82, ack 147, win 64, options [nop,nop,TS val 397957799 ecr 627106443], length 27: BGP
 00:00:10.183060 eth2  Out IP 10.0.12.3.51192 > 10.0.12.2.179: Flags [.], ack 82, win 63, options [nop,nop,TS val 627106443 ecr 397957799], length 0
 00:00:10.183884 eth2  Out IP 10.0.12.3.51192 > 10.0.12.2.179: Flags [P.], seq 147:192, ack 82, win 63, options [nop,nop,TS val 627106444 ecr 397957799], length 45: BGP
 00:00:10.225453 eth2  In  IP 10.0.12.2.179 > 10.0.12.3.51192: Flags [.], ack 192, win 64, options [nop,nop,TS val 397957842 ecr 627106444], length 0
 00:00:10.862403 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Init, Flags: [none], length: 24
 00:00:10.862647 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [Poll], length: 24
 00:00:10.862741 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [Final], length: 24
 00:00:10.862762 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [Poll], length: 24
 00:00:10.862888 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [Final], length: 24
 00:00:10.940193 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:10.951443 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.022857 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.038091 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.099512 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.123922 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.188339 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.207893 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.267284 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.286732 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.343112 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.363417 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.429801 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.445057 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.508444 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.532691 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.589024 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.609275 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.664701 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.684065 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
