tcpdump: data link type LINUX_SLL2
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on any, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144 bytes
 00:00:00.000000 eth2  In  IP 10.0.34.3.38425 > 10.0.34.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.001730 eth1  In  IP 10.0.23.2.57325 > 10.0.23.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.003106 eth0  In  IP 10.0.13.2.57029 > 10.0.13.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.008516 eth3  Out IP 10.0.35.2.60297 > 10.0.35.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.015796 eth1  Out IP 10.0.23.3.33242 > 10.0.23.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.028065 eth2  Out IP 10.0.34.2.53552 > 10.0.34.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.040321 eth0  Out IP 10.0.13.3.41618 > 10.0.13.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.051016 eth3  In  IP 10.0.35.3.46520 > 10.0.35.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.076008 eth2  In  IP 10.0.34.3.38425 > 10.0.34.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.084013 eth1  In  IP 10.0.23.2.57325 > 10.0.23.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.086737 eth0  In  IP 10.0.13.2.57029 > 10.0.13.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.090038 eth3  Out IP 10.0.35.2.60297 > 10.0.35.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.103382 eth1  Out IP 10.0.23.3.33242 > 10.0.23.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.103452 eth2  Out IP 10.0.34.2.53552 > 10.0.34.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.120677 eth0  Out IP 10.0.13.3.41618 > 10.0.13.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.132707 eth3  In  IP 10.0.35.3.46520 > 10.0.35.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
