timestamp,test_name,failed_link,r1_peer,r8_peer,r1_bfd_detection_ms,r8_bfd_detection_ms,r1_recovery_ms,r8_recovery_ms,ping_tx,ping_rx,ping_loss,target_under_1s
20260629_185922,multihop_bfd_failure,hpe-r4-eth2_to_hpe-r7-eth1,10.0.82.3,10.0.14.2,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,792,792,0%,no
20260629_190030,multihop_bfd_failure,hpe-r4-eth2_to_hpe-r7-eth1,10.0.82.3,10.0.14.2,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,794,794,0%,no
20260629_190139,multihop_bfd_failure,hpe-r4-eth2_to_hpe-r7-eth1,10.0.82.3,10.0.14.2,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,791,791,0%,no
20260629_190247,multihop_bfd_failure,hpe-r4-eth2_to_hpe-r7-eth1,10.0.82.3,10.0.14.2,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,792,792,0%,no
20260629_190356,multihop_bfd_failure,hpe-r4-eth2_to_hpe-r7-eth1,10.0.82.3,10.0.14.2,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,795,795,0%,no
20260629_190505,multihop_bfd_failure,hpe-r4-eth2_to_hpe-r7-eth1,10.0.82.3,10.0.14.2,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,790,790,0%,no
20260629_190613,multihop_bfd_failure,hpe-r4-eth2_to_hpe-r7-eth1,10.0.82.3,10.0.14.2,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,791,791,0%,no
20260629_190722,multihop_bfd_failure,hpe-r4-eth2_to_hpe-r7-eth1,10.0.82.3,10.0.14.2,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,793,793,0%,no
20260629_190830,multihop_bfd_failure,hpe-r4-eth2_to_hpe-r7-eth1,10.0.82.3,10.0.14.2,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,788,788,0%,no
20260629_190939,multihop_bfd_failure,hpe-r4-eth2_to_hpe-r7-eth1,10.0.82.3,10.0.14.2,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,792,792,0%,no
20260629_191047,multihop_bfd_failure,hpe-r4-eth2_to_hpe-r7-eth1,10.0.82.3,10.0.14.2,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,790,790,0%,no
20260629_191156,multihop_bfd_failure,hpe-r4-eth2_to_hpe-r7-eth1,10.0.82.3,10.0.14.2,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,789,789,0%,no
20260629_191304,multihop_bfd_failure,hpe-r4-eth2_to_hpe-r7-eth1,10.0.82.3,10.0.14.2,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,791,791,0%,no
20260629_191413,multihop_bfd_failure,hpe-r4-eth2_to_hpe-r7-eth1,10.0.82.3,10.0.14.2,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,794,794,0%,no
20260629_191521,multihop_bfd_failure,hpe-r4-eth2_to_hpe-r7-eth1,10.0.82.3,10.0.14.2,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,789,789,0%,no
