tcpdump: data link type LINUX_SLL2
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on any, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144 bytes
 00:00:00.000000 eth1  Out IP 10.0.29.2.60447 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.045693 eth1  In  IP 10.0.29.3.36592 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.079053 eth1  Out IP 10.0.29.2.60447 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.127752 eth1  In  IP 10.0.29.3.36592 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.158072 eth1  Out IP 10.0.29.2.60447 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.213634 eth1  In  IP 10.0.29.3.36592 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.246907 eth1  Out IP 10.0.29.2.60447 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.297476 eth1  In  IP 10.0.29.3.36592 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.333735 eth1  Out IP 10.0.29.2.60447 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.379568 eth1  In  IP 10.0.29.3.36592 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.408869 eth1  Out IP 10.0.29.2.60447 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.463699 eth1  In  IP 10.0.29.3.36592 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.489073 eth1  Out IP 10.0.29.2.60447 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.538778 eth1  In  IP 10.0.29.3.36592 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.569075 eth1  Out IP 10.0.29.2.60447 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.621843 eth1  In  IP 10.0.29.3.36592 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.653164 eth1  Out IP 10.0.29.2.60447 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.696927 eth1  In  IP 10.0.29.3.36592 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.738272 eth1  Out IP 10.0.29.2.60447 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.778678 eth1  In  IP 10.0.29.3.36592 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.815044 eth1  Out IP 10.0.29.2.60447 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.869591 eth1  In  IP 10.0.29.3.36592 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.893967 eth1  Out IP 10.0.29.2.60447 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.956669 eth1  In  IP 10.0.29.3.36592 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.974014 eth1  Out IP 10.0.29.2.60447 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.041670 eth1  In  IP 10.0.29.3.36592 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.062054 eth1  Out IP 10.0.29.2.60447 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.124456 eth1  In  IP 10.0.29.3.36592 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.138744 eth1  Out IP 10.0.29.2.60447 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.212125 eth1  In  IP 10.0.29.3.36592 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.215536 eth1  Out IP 10.0.29.2.60447 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.300713 eth1  In  IP 10.0.29.3.36592 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.302942 eth1  Out IP 10.0.29.2.60447 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.381156 eth1  Out IP 10.0.29.2.60447 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.385331 eth1  In  IP 10.0.29.3.36592 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.462680 eth1  Out IP 10.0.29.2.60447 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.474957 eth1  In  IP 10.0.29.3.36592 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.550195 eth1  Out IP 10.0.29.2.60447 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.557344 eth1  In  IP 10.0.29.3.36592 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.633556 eth1  Out IP 10.0.29.2.60447 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.645735 eth1  In  IP 10.0.29.3.36592 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.716966 eth1  Out IP 10.0.29.2.60447 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.731172 eth1  In  IP 10.0.29.3.36592 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.804566 eth1  Out IP 10.0.29.2.60447 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.809756 eth1  In  IP 10.0.29.3.36592 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.880182 eth1  Out IP 10.0.29.2.60447 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.896500 eth1  In  IP 10.0.29.3.36592 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.960845 eth1  Out IP 10.0.29.2.60447 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.975123 eth1  In  IP 10.0.29.3.36592 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:02.048515 eth1  Out IP 10.0.29.2.60447 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:02.054425 eth2  Out IP 10.0.12.3.51192 > 10.0.12.2.179: Flags [P.], seq 221769629:221769664, ack 3568889996, win 63, options [nop,nop,TS val 627420163 ecr 398256604], length 35: BGP
 00:00:02.054507 eth2  In  IP 10.0.12.2.179 > 10.0.12.3.51192: Flags [.], ack 35, win 64, options [nop,nop,TS val 398271519 ecr 627420163], length 0
 00:00:02.054548 eth2  Out IP 10.0.12.3.51192 > 10.0.12.2.179: Flags [P.], seq 35:80, ack 1, win 63, options [nop,nop,TS val 627420164 ecr 398271519], length 45: BGP
 00:00:02.054562 eth2  In  IP 10.0.12.2.179 > 10.0.12.3.51192: Flags [.], ack 80, win 64, options [nop,nop,TS val 398271520 ecr 627420164], length 0
 00:00:02.057047 eth2  In  IP 10.0.12.2.179 > 10.0.12.3.51192: Flags [P.], seq 1:55, ack 80, win 64, options [nop,nop,TS val 398271522 ecr 627420164], length 54: BGP
 00:00:02.057070 eth2  Out IP 10.0.12.3.51192 > 10.0.12.2.179: Flags [.], ack 55, win 63, options [nop,nop,TS val 627420166 ecr 398271522], length 0
 00:00:06.811440 eth2  In  IP 10.0.12.2.179 > 10.0.12.3.51192: Flags [P.], seq 55:74, ack 80, win 64, options [nop,nop,TS val 398276276 ecr 627420166], length 19: BGP
 00:00:06.811496 eth2  Out IP 10.0.12.3.51192 > 10.0.12.2.179: Flags [.], ack 74, win 63, options [nop,nop,TS val 627424920 ecr 398276276], length 0
 00:00:10.131316 eth2  Out IP 10.0.12.3.51192 > 10.0.12.2.179: Flags [P.], seq 80:128, ack 74, win 63, options [nop,nop,TS val 627428240 ecr 398276276], length 48: BGP
 00:00:10.131393 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Down, Flags: [none], length: 24
 00:00:10.131804 eth2  In  IP 10.0.12.2.179 > 10.0.12.3.51192: Flags [P.], seq 74:101, ack 128, win 64, options [nop,nop,TS val 398279597 ecr 627428240], length 27: BGP
 00:00:10.131820 eth2  Out IP 10.0.12.3.51192 > 10.0.12.2.179: Flags [.], ack 101, win 63, options [nop,nop,TS val 627428241 ecr 398279597], length 0
 00:00:10.132773 eth2  Out IP 10.0.12.3.51192 > 10.0.12.2.179: Flags [P.], seq 128:173, ack 101, win 63, options [nop,nop,TS val 627428242 ecr 398279597], length 45: BGP
 00:00:10.173528 eth2  In  IP 10.0.12.2.179 > 10.0.12.3.51192: Flags [.], ack 173, win 64, options [nop,nop,TS val 398279639 ecr 627428242], length 0
 00:00:10.758020 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Init, Flags: [none], length: 24
 00:00:10.758189 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [Poll], length: 24
 00:00:10.758240 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [Final], length: 24
 00:00:10.758256 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [Poll], length: 24
 00:00:10.758314 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [Final], length: 24
 00:00:10.835881 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:10.845218 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:10.914036 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:10.923438 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:10.998063 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.010303 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.075878 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.092189 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.160869 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.172194 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.243778 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.247370 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.321164 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.334936 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.398410 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.410628 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.481184 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.488420 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.566963 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.577211 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.652926 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.665232 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.740868 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.746142 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.826511 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.826593 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.905287 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.911953 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.986220 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.987545 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
