timestamp,flow_id,dst_ip,sport,dport,before_next_hop,after_next_hop,rehash_status,before_line,after_line
20260630_002745,1,10.0.24.3,10001,20001,10.0.23.2,10.0.23.2,stayed_on_survivor,"10.0.24.3 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 ","10.0.24.3 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002745,2,10.0.24.4,10002,20002,10.0.34.3,10.0.23.2,remapped_failed_to_survivor,"10.0.24.4 from 10.0.35.2 via 10.0.34.3 dev eth3 uid 0 ","10.0.24.4 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002745,3,10.0.24.5,10003,20003,10.0.34.3,10.0.23.2,remapped_failed_to_survivor,"10.0.24.5 from 10.0.35.2 via 10.0.34.3 dev eth3 uid 0 ","10.0.24.5 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002745,4,10.0.24.6,10004,20004,10.0.34.3,10.0.23.2,remapped_failed_to_survivor,"10.0.24.6 from 10.0.35.2 via 10.0.34.3 dev eth3 uid 0 ","10.0.24.6 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002745,5,10.0.24.7,10005,20005,10.0.23.2,10.0.23.2,stayed_on_survivor,"10.0.24.7 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 ","10.0.24.7 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002745,6,10.0.24.8,10006,20006,10.0.23.2,10.0.23.2,stayed_on_survivor,"10.0.24.8 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 ","10.0.24.8 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002745,7,10.0.24.9,10007,20007,10.0.23.2,10.0.23.2,stayed_on_survivor,"10.0.24.9 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 ","10.0.24.9 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002745,8,10.0.24.10,10008,20008,10.0.23.2,10.0.23.2,stayed_on_survivor,"10.0.24.10 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 ","10.0.24.10 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002745,9,10.0.24.11,10009,20009,10.0.23.2,10.0.23.2,stayed_on_survivor,"10.0.24.11 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 ","10.0.24.11 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002745,10,10.0.24.12,10010,20010,10.0.34.3,10.0.23.2,remapped_failed_to_survivor,"10.0.24.12 from 10.0.35.2 via 10.0.34.3 dev eth3 uid 0 ","10.0.24.12 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002745,11,10.0.24.13,10011,20011,10.0.23.2,10.0.23.2,stayed_on_survivor,"10.0.24.13 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 ","10.0.24.13 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002745,12,10.0.24.14,10012,20012,10.0.23.2,10.0.23.2,stayed_on_survivor,"10.0.24.14 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 ","10.0.24.14 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002745,13,10.0.24.15,10013,20013,10.0.23.2,10.0.23.2,stayed_on_survivor,"10.0.24.15 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 ","10.0.24.15 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002745,14,10.0.24.16,10014,20014,10.0.34.3,10.0.23.2,remapped_failed_to_survivor,"10.0.24.16 from 10.0.35.2 via 10.0.34.3 dev eth3 uid 0 ","10.0.24.16 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002745,15,10.0.24.17,10015,20015,10.0.34.3,10.0.23.2,remapped_failed_to_survivor,"10.0.24.17 from 10.0.35.2 via 10.0.34.3 dev eth3 uid 0 ","10.0.24.17 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002745,16,10.0.24.18,10016,20016,10.0.34.3,10.0.23.2,remapped_failed_to_survivor,"10.0.24.18 from 10.0.35.2 via 10.0.34.3 dev eth3 uid 0 ","10.0.24.18 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
