timestamp,test_name,failed_link,r1_peer,r8_peer,r1_bfd_detection_ms,r8_bfd_detection_ms,r1_recovery_ms,r8_recovery_ms,ping_tx,ping_rx,ping_loss,target_under_1s
20260629_194952,multihop_bfd_failure,hpe-r4-eth3_to_hpe-r7-eth1,10.0.82.3,10.0.14.2,501,554,5975,2,232,68,70.6897%,yes
20260629_195034,multihop_bfd_failure,hpe-r4-eth3_to_hpe-r7-eth1,10.0.82.3,10.0.14.2,512,567,6608,2,245,76,68.9796%,yes
20260629_195116,multihop_bfd_failure,hpe-r4-eth3_to_hpe-r7-eth1,10.0.82.3,10.0.14.2,516,571,9330,2,297,76,74.4108%,yes
20260629_195201,multihop_bfd_failure,hpe-r4-eth3_to_hpe-r7-eth1,10.0.82.3,10.0.14.2,501,567,11155,2,334,77,76.9461%,yes
20260629_195248,multihop_bfd_failure,hpe-r4-eth3_to_hpe-r7-eth1,10.0.82.3,10.0.14.2,500,559,6061,2,234,78,66.6667%,yes
20260629_195330,multihop_bfd_failure,hpe-r4-eth3_to_hpe-r7-eth1,10.0.82.3,10.0.14.2,500,554,10798,3,326,68,79.1411%,yes
20260629_195417,multihop_bfd_failure,hpe-r4-eth3_to_hpe-r7-eth1,10.0.82.3,10.0.14.2,581,642,10064,1,314,67,78.6624%,yes
20260629_195503,multihop_bfd_failure,hpe-r4-eth3_to_hpe-r7-eth1,10.0.82.3,10.0.14.2,497,567,5831,2,230,64,72.1739%,yes
20260629_195544,multihop_bfd_failure,hpe-r4-eth3_to_hpe-r7-eth1,10.0.82.3,10.0.14.2,501,556,6746,1,247,76,69.2308%,yes
20260629_195627,multihop_bfd_failure,hpe-r4-eth3_to_hpe-r7-eth1,10.0.82.3,10.0.14.2,525,589,10218,1,315,74,76.5079%,yes
20260629_195713,multihop_bfd_failure,hpe-r4-eth3_to_hpe-r7-eth1,10.0.82.3,10.0.14.2,488,544,5856,2,230,72,68.6957%,yes
20260629_195755,multihop_bfd_failure,hpe-r4-eth3_to_hpe-r7-eth1,10.0.82.3,10.0.14.2,528,590,5797,2,229,66,71.179%,yes
20260629_195836,multihop_bfd_failure,hpe-r4-eth3_to_hpe-r7-eth1,10.0.82.3,10.0.14.2,517,583,9108,2,294,62,78.9116%,yes
20260629_195921,multihop_bfd_failure,hpe-r4-eth3_to_hpe-r7-eth1,10.0.82.3,10.0.14.2,509,569,6743,2,248,78,68.5484%,yes
20260629_200004,multihop_bfd_failure,hpe-r4-eth3_to_hpe-r7-eth1,10.0.82.3,10.0.14.2,493,549,5877,2,230,72,68.6957%,yes
